Drug,Disease,Phases,Status,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClusteringCoefficient,RandomWalkCentrality
donepezil,dementia,PHASE3,TERMINATED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,dementia,PHASE3,TERMINATED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
rosiglitazone,alzheimer disease,PHASE3,TERMINATED,0.49942594718714123,0.09787775464345418,0.00964745482193621,0.3311510143545739,0.004564691635596756
risperidone,alzheimer disease,PHASE4,COMPLETED,0.2468427095292767,0.05531402462888638,0.0009201803978211218,0.5767876548576396,0.0021824287520443566
risperidone,psychophysiologic disorders,PHASE4,COMPLETED,0.2468427095292767,0.05531402462888638,0.0009201803978211218,0.5767876548576396,0.0021824287520443566
perindopril,alzheimer disease,PHASE2,TERMINATED,0.3065442020665901,0.06883739946968598,0.0024374724600488245,0.5028864295570387,0.002488828924864566
telmisartan,alzheimer disease,PHASE2,TERMINATED,0.3283582089552239,0.07390285545765927,0.00200186080074434,0.48210035578456634,0.0026591366459355467
memantine,neuromyelitis optica,PHASE4,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
rivastigmine,alzheimer disease,PHASE3,COMPLETED,0.3559127439724455,0.07197111579602912,0.005120680846812796,0.4290426975675958,0.0028975128496209583
rivastigmine,communication disorders,PHASE3,COMPLETED,0.3559127439724455,0.07197111579602912,0.005120680846812796,0.4290426975675958,0.0028975128496209583
vortioxetine,frontotemporal dementia,PHASE2,RECRUITING,0.0057405281285878304,0.0012173521321916325,0.0,1.0,0.00024230448676138976
vortioxetine,frontotemporal dementia,PHASE2,RECRUITING,0.0057405281285878304,0.0012173521321916325,0.0,1.0,0.00024230448676138976
vortioxetine,frontotemporal lobar degeneration,PHASE2,RECRUITING,0.0057405281285878304,0.0012173521321916325,0.0,1.0,0.00024230448676138976
vortioxetine,frontotemporal dementia,PHASE2,RECRUITING,0.0057405281285878304,0.0012173521321916325,0.0,1.0,0.00024230448676138976
vortioxetine,frontotemporal dementia,PHASE2,RECRUITING,0.0057405281285878304,0.0012173521321916325,0.0,1.0,0.00024230448676138976
vortioxetine,frontotemporal dementia,PHASE2,RECRUITING,0.0057405281285878304,0.0012173521321916325,0.0,1.0,0.00024230448676138976
galantamine,dementia,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
galantamine,alzheimer disease,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
galantamine,alzheimer disease,PHASE3,COMPLETED,0.23421354764638347,0.05120581495852816,0.0013734823958616769,0.5959142277600695,0.0021448216771573687
memantine,alzheimer disease,PHASE4,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
doxycycline,alzheimer disease,PHASE3,COMPLETED,0.3157290470723307,0.0696863292616807,0.004662018448617401,0.4640477770404778,0.0025215334052818466
rifampin,alzheimer disease,PHASE3,COMPLETED,0.2766934557979334,0.06194564109587923,0.001412270542377909,0.5392461964038727,0.0017431159970192262
nicorandil,dementia,PHASE2,ACTIVE_NOT_RECRUITING,0.11595866819747418,0.022010026856759908,0.0,1.0,0.0007074585443629446
bryostatins,alzheimer disease,PHASE2,COMPLETED,0.15499425947187143,0.03826692845463806,0.0004806882013823084,0.7649530127142068,0.0009814096300137598
donepezil,alzheimer disease,PHASE2,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
donepezil,alzheimer disease,PHASE2,COMPLETED,0.2629161882893226,0.05502720268909852,0.0032493887038416067,0.5130621313108098,0.002404182248138928
memantine,alzheimer disease,PHASE4,COMPLETED,0.2675086107921929,0.05545451890166776,0.004039387787822621,0.4983720586058902,0.002456249153702323
naloxone,alzheimer disease,PHASE3,RECRUITING,0.40298507462686567,0.08378724146204106,0.007012305711783921,0.39417175417175415,0.0030665615222407487
