Drug,Disease,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,Label
valacyclovir,sexually transmitted diseases,1.0,0.036699,1.0116,8e-06,0.005002,1
valacyclovir,herpes simplex,1.0,0.031465,1.0094,2e-06,0.005001,1
valacyclovir,alzheimer disease,1.0,0.046075,1.1358,0.000194,0.005017,1
valacyclovir,hiv infections,1.0,0.048463,1.1297,0.000204,0.005018,1
valacyclovir,"pulmonary disease, chronic obstructive",1.0,0.039986,1.0264,4.1e-05,0.005004,1
azithromycin,chronic disease,1.0,0.010328,1.0147,6e-06,0.005002,1
azithromycin,bronchopulmonary dysplasia,1.0,0.011691,1.0156,1.7e-05,0.005003,1
azithromycin,obstetric labor complications,1.0,0.010328,1.0147,6e-06,0.005002,1
azithromycin,sexually transmitted diseases,1.0,0.01293,1.017,2.9e-05,0.005003,1
azithromycin,pregnancy in obesity,1.0,0.010328,1.0147,6e-06,0.005002,1
azithromycin,respiratory sounds,1.0,0.014132,1.0173,2.9e-05,0.005004,1
azithromycin,pneumonia,1.0,0.01506,1.0209,8.1e-05,0.005006,1
azithromycin,tuberculosis,1.0,0.015118,1.0318,0.000115,0.005008,1
azithromycin,respiratory tract infections,1.0,0.01452,1.018,3.5e-05,0.005003,1
azithromycin,"anemia, sickle cell",1.0,0.011927,1.0327,9.8e-05,0.005005,1
azithromycin,asthma,1.0,0.019417,1.0643,0.000294,0.005013,1
azithromycin,bronchiolitis obliterans,1.0,0.010782,1.0151,1.2e-05,0.005003,1
azithromycin,"arthritis, reactive",1.0,0.011563,1.0163,1.7e-05,0.005003,1
azithromycin,hiv infections,1.0,0.023599,1.1357,0.000693,0.005022,1
azithromycin,bronchiectasis,1.0,0.010328,1.0147,6e-06,0.005002,1
azithromycin,"pulmonary disease, chronic obstructive",1.0,0.017317,1.0318,0.000139,0.005009,1
azithromycin,arthritis,1.0,0.014619,1.045,0.000202,0.005009,1
atrasentan,diabetic nephropathies,1.0,0.044863,1.0137,1.9e-05,0.005003,1
atrasentan,"glomerulosclerosis, focal segmental",1.0,0.043226,1.0033,4e-06,0.005001,1
atrasentan,"nephritis, hereditary",1.0,0.043717,1.0036,5e-06,0.005001,1
atrasentan,"glomerulonephritis, iga",1.0,0.042919,1.0043,7e-06,0.005001,1
memantine,frontotemporal dementia,1.0,0.015536,1.0195,2.9e-05,0.005003,1
memantine,hepatic encephalopathy,1.0,0.012512,1.0168,1.4e-05,0.005002,1
memantine,communication disorders,1.0,0.013079,1.0231,5.2e-05,0.005005,1
memantine,psychophysiologic disorders,1.0,0.024502,1.0763,0.000423,0.005028,1
memantine,neuromyelitis optica,1.0,0.012372,1.0314,5.7e-05,0.005004,1
memantine,dementia,1.0,0.026316,1.0987,0.000485,0.00503,1
memantine,down syndrome,1.0,0.012931,1.0186,2.4e-05,0.005003,1
memantine,intellectual disability,1.0,0.010677,1.019,1e-05,0.005002,1
memantine,multiple sclerosis,1.0,0.013757,1.0237,5.7e-05,0.005005,1
memantine,frontotemporal lobar degeneration,1.0,0.013594,1.0172,1.4e-05,0.005002,1
memantine,delirium,1.0,0.01254,1.0258,5.7e-05,0.005005,1
memantine,alzheimer disease,1.0,0.024768,1.1429,0.000542,0.005025,1
memantine,glioblastoma,1.0,0.012183,1.0356,0.000105,0.005005,1
memantine,huntington disease,1.0,0.013909,1.0184,1.9e-05,0.005003,1
neostigmine,joint diseases,1.0,0.049585,1.0089,9e-06,0.005002,1
neostigmine,synesthesia,1.0,0.057044,1.0224,3e-05,0.005004,1
neostigmine,breast neoplasms,1.0,0.056321,1.0658,5.8e-05,0.005008,1
bosentan,scleredema adultorum,1.0,0.017595,1.0111,1e-05,0.005002,1
bosentan,sarcoidosis,1.0,0.017155,1.0114,1e-05,0.005002,1
bosentan,familial primary pulmonary hypertension,1.0,0.017424,1.0103,7e-06,0.005002,1
bosentan,hypertension,1.0,0.028958,1.1086,0.000336,0.005018,1
bosentan,"diabetes mellitus, type 2",1.0,0.023632,1.0814,0.000241,0.005013,1
bosentan,"scleroderma, systemic",1.0,0.017053,1.0121,1e-05,0.005002,1
bosentan,pulmonary fibrosis,1.0,0.016593,1.0097,3e-06,0.005001,1
bosentan,idiopathic pulmonary fibrosis,1.0,0.017527,1.0114,1e-05,0.005002,1
bosentan,"hypertension, pulmonary",1.0,0.021418,1.0162,3.7e-05,0.005004,1
bosentan,pulmonary arterial hypertension,1.0,0.022002,1.0158,3.4e-05,0.005004,1
dimethyl fumarate,"arthritis, rheumatoid",1.0,0.040405,1.0886,0.000129,0.005013,1
dimethyl fumarate,"multiple sclerosis, relapsing-remitting",1.0,0.036116,1.0143,1.4e-05,0.005002,1
dimethyl fumarate,multiple sclerosis,1.0,0.035383,1.0163,2e-05,0.005003,1
