Drug,Disease,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClusteringCoefficient,RandomWalkCentrality,PhaseSuccess,PHASE2,PHASE3,PHASE4
donepezil,dementia,0.2629161882893226,0.0550272026890985,0.0032493887038416,0.5130621313108098,0.0024041822481389,0,0,1,0
donepezil,dementia,0.2629161882893226,0.0550272026890985,0.0032493887038416,0.5130621313108098,0.0024041822481389,0,0,1,0
rosiglitazone,alzheimer disease,0.4994259471871412,0.0978777546434541,0.0096474548219362,0.3311510143545739,0.0045646916355967,0,0,1,0
risperidone,alzheimer disease,0.2468427095292767,0.0553140246288863,0.0009201803978211,0.5767876548576396,0.0021824287520443,1,0,0,1
risperidone,psychophysiologic disorders,0.2468427095292767,0.0553140246288863,0.0009201803978211,0.5767876548576396,0.0021824287520443,1,0,0,1
perindopril,alzheimer disease,0.3065442020665901,0.0688373994696859,0.0024374724600488,0.5028864295570387,0.0024888289248645,0,1,0,0
telmisartan,alzheimer disease,0.3283582089552239,0.0739028554576592,0.0020018608007443,0.4821003557845663,0.0026591366459355,0,1,0,0
memantine,neuromyelitis optica,0.2675086107921929,0.0554545189016677,0.0040393877878226,0.4983720586058902,0.0024562491537023,1,0,0,1
rivastigmine,alzheimer disease,0.3559127439724455,0.0719711157960291,0.0051206808468127,0.4290426975675958,0.0028975128496209,1,0,1,0
rivastigmine,communication disorders,0.3559127439724455,0.0719711157960291,0.0051206808468127,0.4290426975675958,0.0028975128496209,1,0,1,0
vortioxetine,frontotemporal dementia,0.0057405281285878,0.0012173521321916,0.0,1.0,0.0002423044867613,1,1,0,0
vortioxetine,frontotemporal dementia,0.0057405281285878,0.0012173521321916,0.0,1.0,0.0002423044867613,1,1,0,0
vortioxetine,frontotemporal lobar degeneration,0.0057405281285878,0.0012173521321916,0.0,1.0,0.0002423044867613,1,1,0,0
vortioxetine,frontotemporal dementia,0.0057405281285878,0.0012173521321916,0.0,1.0,0.0002423044867613,1,1,0,0
vortioxetine,frontotemporal dementia,0.0057405281285878,0.0012173521321916,0.0,1.0,0.0002423044867613,1,1,0,0
vortioxetine,frontotemporal dementia,0.0057405281285878,0.0012173521321916,0.0,1.0,0.0002423044867613,1,1,0,0
galantamine,dementia,0.2342135476463834,0.0512058149585281,0.0013734823958616,0.5959142277600695,0.0021448216771573,1,0,1,0
galantamine,alzheimer disease,0.2342135476463834,0.0512058149585281,0.0013734823958616,0.5959142277600695,0.0021448216771573,1,0,1,0
galantamine,alzheimer disease,0.2342135476463834,0.0512058149585281,0.0013734823958616,0.5959142277600695,0.0021448216771573,1,0,1,0
memantine,alzheimer disease,0.2675086107921929,0.0554545189016677,0.0040393877878226,0.4983720586058902,0.0024562491537023,1,0,0,1
doxycycline,alzheimer disease,0.3157290470723307,0.0696863292616807,0.0046620184486174,0.4640477770404778,0.0025215334052818,1,0,1,0
rifampin,alzheimer disease,0.2766934557979334,0.0619456410958792,0.0014122705423779,0.5392461964038727,0.0017431159970192,1,0,1,0
