drug,disease,run_timestamp,run_log,drug_mapping_method,disease_mapping_method,entity_mapping_quality_score,terminology_quality_flag,records_retrieved,records_usable,records_with_abstracts,records_with_intro,records_with_conclusion,records_excluded_missing_text,records_finally_classified,retrieval_usability_rate,literature_file,therapeutic_count,adverse_count,irrelevant_count,literature_completeness_count,therapeutic_relevance_ratio,adverse_evidence_burden,irrelevant_retrieval_noise_rate,literature_completeness_score,literature_evidence_pattern,gamma_safety_overlap,safety_conflict_score,safety_overlap_term_count,top_safety_overlap_terms,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,structural_consistency_score,evidence_domain_support,p_raw,p_penalised,p_final,cM,p_likelihood,posterior_mean,posterior_variance,posterior_ci_low,posterior_ci_high,credible_interval_width,kl_divergence,mean_shift,evidence_readiness_score,quality_flag
Azithromycin,adenomatous polyps,20251230_135016,runs\run_azithromycin_adenomatous_polyps_20251230_135016.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,1,1,1,0.0,0.0,0,1,1.0,literatures\classified_pubmed_Azithromycin_adenomatous polyps_20251230_135011.json,1,0,0,1,1.0,0.0,0.0,0.201849,sparse_but_clean,0.2,0.2,,,0.2,2.3e-05,1.0172,6e-06,0.0,0.423696,neither,0.999999,0.999999,0.999999,7.842112,0.476413,0.545815,0.0040745,0.419718,0.66901,0.249291,3.947737,-0.351683,68.894,Insufficient evidence
Azithromycin,albuminuria,20251230_135115,runs\run_azithromycin_albuminuria_20251230_135115.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,5,5,5,4.0,5.0,0,5,1.0,literatures\classified_pubmed_Azithromycin_albuminuria_20251230_135110.json,1,0,4,5,0.2,0.0,0.8,0.521772,dominated_by_irrelevant_articles,0.2,0.2,,,0.2,0.000141,1.019,2.9e-05,0.0,0.573458,neither,0.2,0.2,0.2,36.253849,0.476368,0.363374,0.00259186,0.2668,0.465815,0.199014,2.214651,0.147689,64.693,Literature noise dominated
Azithromycin,body weight,20251230_134952,runs\run_azithromycin_body_weight_20251230_134952.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,150,150,150,44.0,48.0,0,150,1.0,literatures\classified_pubmed_Azithromycin_body weight_20251230_134945.json,45,16,89,150,0.3,0.106667,0.593333,1.0,safety_concerning,0.8,0.8,,,0.2,4.3e-05,1.0175,1.2e-05,0.0,0.478066,literature_only,0.3,0.086667,0.052,199.50425,0.476405,0.139936,0.00047664,0.099955,0.185336,0.085381,7.510532,0.083489,65.174,Safety-concerning
Azithromycin,"constriction, pathologic",20251230_133738,"runs\run_azithromycin_constriction,_pathologic_20251230_133738.json",mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,1,1,1,0.0,0.0,0,1,1.0,"literatures\classified_pubmed_Azithromycin_constriction, pathologic_20251230_133734.json",1,0,0,1,1.0,0.0,0.0,0.201849,sparse_but_clean,0.2,0.2,,,0.2,4.7e-05,1.0189,1.2e-05,0.0,0.488501,neither,0.999999,0.999999,0.999999,7.842112,0.476365,0.545776,0.00407456,0.419679,0.668972,0.249293,3.948308,-0.351722,69.866,Insufficient evidence
Azithromycin,frailty,20251230_133520,runs\run_azithromycin_frailty_20251230_133520.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,3,3,3,1.0,2.0,0,3,1.0,literatures\classified_pubmed_Azithromycin_frailty_20251230_133515.json,2,0,1,3,0.666667,0.0,0.333333,0.403698,safety_concerning,0.75,0.75,,,0.2,8e-05,1.019,1.7e-05,0.0,0.529833,neither,0.666667,0.666667,0.416667,22.615913,0.476364,0.458904,0.00328385,0.347962,0.571933,0.223972,0.29343,0.035466,60.643,Safety-concerning
Azithromycin,gout,20251230_133835,runs\run_azithromycin_gout_20251230_133835.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,4,4,4,3.0,3.0,0,4,1.0,literatures\classified_pubmed_Azithromycin_gout_20251230_133831.json,1,1,2,4,0.25,0.25,0.5,0.468679,abundant_but_conflicting,0.1,0.1,,,0.2,4.3e-05,1.0176,1.2e-05,0.0,0.478428,neither,0.25,1e-06,1e-06,29.571242,0.476402,0.304276,0.00256375,0.209919,0.407722,0.197803,8.924844,0.271637,65.99,Literature-conflicted
Azithromycin,pregnancy in diabetics,20251230_133759,runs\run_azithromycin_pregnancy_in_diabetics_20251230_133759.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,1,1,1,0.0,0.0,0,1,1.0,literatures\classified_pubmed_Azithromycin_pregnancy in diabetics_20251230_133755.json,0,0,1,1,0.0,0.0,1.0,0.201849,sparse_evidence,0.2,0.2,,,0.2,6.6e-05,1.0185,1.7e-05,0.0,0.514287,neither,1e-06,1e-06,1e-06,7.842112,0.476378,0.41474,0.00398952,0.294116,0.540764,0.246648,3.403404,0.312238,55.292,Insufficient evidence
Azithromycin,squamous cell carcinoma of head and neck,20251230_133443,runs\run_azithromycin_squamous_cell_carcinoma_of_head_and_neck_20251230_133443.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,2,2,2,2.0,2.0,0,2,1.0,literatures\classified_pubmed_Azithromycin_squamous cell carcinoma of head and neck_20251230_133439.json,1,0,1,2,0.5,0.0,0.5,0.319923,sparse_evidence,0.2,0.2,,,0.2,0.000264,1.0218,6.4e-05,0.0,0.622206,network_only,0.5,0.5,0.5,15.376731,0.476295,0.482408,0.00365169,0.364847,0.600959,0.236112,0.324906,-0.017592,66.34,Sparse literature; structurally plausible
Azithromycin,ureterolithiasis,20251230_133416,runs\run_azithromycin_ureterolithiasis_20251230_133416.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,2,2,2,1.0,1.0,0,2,1.0,literatures\classified_pubmed_Azithromycin_ureterolithiasis_20251230_133412.json,0,0,2,2,0.0,0.0,1.0,0.319923,sparse_evidence,0.2,0.2,,,0.1429,9e-06,1.0143,6e-06,0.0,0.327544,neither,1e-06,1e-06,1e-06,15.376731,0.47486,0.367234,0.00339843,0.257122,0.484814,0.227691,5.7166,0.308745,54.547,Insufficient evidence
Azithromycin,venous thrombosis,20251230_133713,runs\run_azithromycin_venous_thrombosis_20251230_133713.json,mapped_legacy_no_provenance,mapped_legacy_no_provenance,0.75,entities_seen_in_graph_artifacts,16,16,16,10.0,9.0,0,16,1.0,literatures\classified_pubmed_Azithromycin_venous thrombosis_20251230_133708.json,3,4,9,16,0.1875,0.25,0.5625,0.825051,safety_concerning,0.8,0.8,,,0.2,0.000123,1.0188,3.5e-05,0.0,0.565764,literature_only,0.1875,1e-06,1e-06,94.541515,0.476372,0.169363,0.00095349,0.11331,0.233954,0.120644,15.020084,0.15803,62.365,Safety-conflicted evidence
