source,quality_dimension,metric,value,denominator,rate,note
ClinicalTrials.gov,data_readiness,total_extracted_trial_records,,,,
ClinicalTrials.gov,data_readiness,drug_condition_rows,31235.0,,,
ClinicalTrials.gov,data_readiness,matched_drug_condition_rows,10178.0,,,
ClinicalTrials.gov,data_readiness,successfully_normalised_conditions,24868.0,,,
ClinicalTrials.gov,data_readiness,successfully_normalised_drugs,10178.0,,,
ClinicalTrials.gov,data_readiness,unmatched_condition_count,6367.0,,,
ClinicalTrials.gov,data_readiness,unresolved_drug_count,14690.0,,,
ClinicalTrials.gov,data_readiness,placebo_exclusion_count,45.0,,,
ClinicalTrials.gov,data_readiness,duplicate_pair_count,5107.0,,,
ClinicalTrials.gov,data_readiness,final_graph_ready_pair_count,5026.0,,,
ClinicalTrials.gov,data_readiness,unmatched_condition_rate,6367.0,31235.0,0.203842,
ClinicalTrials.gov,data_readiness,unresolved_drug_rate,14690.0,24868.0,0.590719,
MeSH,terminology_standardisation,condition:mapped_legacy_no_provenance,24868.0,,0.796158,nominal_confidence=0.75
MeSH,terminology_standardisation,condition:unmapped,6367.0,,0.203842,nominal_confidence=0.0
MeSH,terminology_standardisation,drug:mapped_legacy_no_provenance,10178.0,,0.325852,nominal_confidence=0.75
MeSH,terminology_standardisation,drug:not_attempted,6367.0,,0.203842,nominal_confidence=0.0
MeSH,terminology_standardisation,drug:unmapped,14690.0,,0.470306,nominal_confidence=0.0
PubMed/PMC,retrieval_quality,audited_pairs,56.0,,,
PubMed/PMC,retrieval_quality,records_retrieved,1275.0,,,
PubMed/PMC,retrieval_quality,records_usable,1275.0,,,
PubMed/PMC,retrieval_quality,usable_literature_rate,1275.0,1275.0,1.0,
PubMed/PMC,evidence_quality,average_irrelevant_retrieval_noise_rate,0.34068964285714287,,,
PubMed/PMC,evidence_quality,average_therapeutic_relevance_ratio,0.32227823214285717,,,
openFDA/FAERS,safety_alignment,average_safety_conflict_score,0.35625,,,
openFDA/FAERS,safety_alignment,pairs_gamma_ge_0_50,12.0,56.0,0.214286,
openFDA/FAERS,safety_alignment,pairs_missing_gamma,16.0,56.0,0.285714,
Bayesian posterior,uncertainty_quality,average_posterior_mean,0.40204839285714283,,,
Bayesian posterior,uncertainty_quality,average_posterior_variance,0.0028753094642857144,,,
Bayesian posterior,uncertainty_quality,average_credible_interval_width,0.19935926785714284,,,
Bayesian posterior,uncertainty_quality,average_kl_information_gain,3.1766726785714283,,,
Graph,structural_consistency,feature_rows,736840.0,,,
Graph,structural_consistency,known_pair_rows,5026.0,,,
Graph,structural_consistency,unknown_pair_rows,731814.0,,,
Graph,structural_consistency,unique_drugs,872.0,,,
Graph,structural_consistency,unique_diseases,845.0,,,
Graph,structural_consistency,average_structural_consistency_score,0.5000006785733674,,,
