metric,value,note
report_generated_at,2026-06-10T11:40:58,
pair_count,56,
clinical_drug_condition_rows,31235,
final_graph_ready_pair_count,5026,
mapping_success_rate,0.561005,
unresolved_entity_rate,0.438995,
usable_literature_rate,1.0,
average_irrelevant_retrieval_rate,0.34069,
average_safety_overlap_score,0.35625,
average_posterior_uncertainty,0.199359,Mean 95% credible-interval width.
average_evidence_readiness_score,62.209,
median_evidence_readiness_score,61.232,
quality_category_count:High evidence quality,4,
quality_category_count:Insufficient evidence,16,
quality_category_count:Literature noise dominated,1,
quality_category_count:Literature-conflicted,4,
quality_category_count:Moderate evidence quality,6,
quality_category_count:Safety-concerning,4,
quality_category_count:Safety-conflicted evidence,1,
quality_category_count:Sparse literature; structurally plausible,3,
quality_category_count:Terminology uncertainty,17,
evidence_domain_support_count:literature_and_network,3,
evidence_domain_support_count:literature_only,21,
evidence_domain_support_count:neither,29,
evidence_domain_support_count:network_only,3,
legacy_mapping_provenance_note,Current matched pair artifacts do not store exact vs fuzzy match provenance for successful mappings.,
