Drug,Disease,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,Label,graph_score,p_like,SelectedDrug
azithromycin,mitochondrial diseases,0.0,6e-06,1.0145,1.2e-05,0.0,0,0.11159602,0.5278700872586332,Azithromycin
azithromycin,maple syrup urine disease,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,mania,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,"leishmaniasis, cutaneous",0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,"cerebral hemorrhage, traumatic",0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,"pleural effusion, malignant",0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,glycogen storage disease type ii,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,dystonic disorders,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,tinnitus,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,idiopathic hypersomnia,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,uterine cervical dysplasia,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,foot ulcer,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,ascites,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,hypothermia,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,hypoparathyroidism,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,oral submucous fibrosis,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,"leishmaniasis, visceral",0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,bacteremia,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,pleural effusion,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,vitamin b 12 deficiency,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,paronychia,0.0,6e-06,1.0143,6e-06,0.0,0,0.11157426,0.5278646641572453,Azithromycin
azithromycin,muscular atrophy,0.1111,5e-06,1.0143,6e-06,0.0,0,-2.47927799,0.07732369803752484,Azithromycin
azithromycin,sarcopenia,0.1111,5e-06,1.0143,6e-06,0.0,0,-2.47927799,0.07732369803752484,Azithromycin
azithromycin,prostatic hyperplasia,0.1429,1.4e-05,1.0157,1.2e-05,0.0,0,-3.22069798,0.03839420771104325,Azithromycin
azithromycin,pulmonary embolism,0.1429,1.7e-05,1.0149,1.2e-05,0.0,0,-3.22078523,0.03839098656270455,Azithromycin
azithromycin,intracranial hypertension,0.1429,1.1e-05,1.0143,6e-06,0.0,0,-3.22085249,0.038388503594391596,Azithromycin
azithromycin,"neuroma, acoustic",0.1429,1e-05,1.0143,6e-06,0.0,0,-3.22085274,0.03838849436568605,Azithromycin
azithromycin,ureterolithiasis,0.1429,9e-06,1.0143,6e-06,0.0,0,-3.22085299,0.038388485136982654,Azithromycin
azithromycin,heart diseases,0.2,0.000436,1.0287,0.000104,0.0,0,-4.550738160000001,0.010449070981487738,Azithromycin
azithromycin,endometrial neoplasms,0.2,0.000219,1.0243,5.2e-05,0.0,0,-4.551274330000001,0.01044352849873157,Azithromycin
azithromycin,hyperglycemia,0.2,0.000169,1.0238,4e-05,0.0,0,-4.55134135,0.010442835905865483,Azithromycin
azithromycin,"diabetes, gestational",0.2,0.000197,1.0231,4.6e-05,0.0,0,-4.551411590000001,0.010442110085900354,Azithromycin
azithromycin,squamous cell carcinoma of head and neck,0.2,0.000264,1.0218,6.4e-05,0.0,0,-4.551538560000001,0.010440798177243731,Azithromycin
azithromycin,thrombosis,0.2,0.000232,1.0215,5.8e-05,0.0,0,-4.551579320000001,0.010440377061971668,Azithromycin
azithromycin,atrial fibrillation,0.2,0.000146,1.0212,3.5e-05,0.0,0,-4.5516329,0.010439823521387462,Azithromycin
azithromycin,"carcinoma, squamous cell",0.2,0.000231,1.0205,5.2e-05,0.0,0,-4.55168933,0.010439240568551805,Azithromycin
azithromycin,acute coronary syndrome,0.2,0.000139,1.0207,3.5e-05,0.0,0,-4.551689650000001,0.010439237262868212,Azithromycin
azithromycin,diffuse intrinsic pontine glioma,0.2,0.000172,1.02,4e-05,0.0,0,-4.5517586,0.010438525015511955,Azithromycin
azithromycin,optic nerve glioma,0.2,0.000148,1.0196,3.5e-05,0.0,0,-4.5518084000000005,0.010438010615855095,Azithromycin
azithromycin,peripheral arterial disease,0.2,0.000107,1.0193,2.9e-05,0.0,0,-4.55185141,0.010437566372400939,Azithromycin
azithromycin,albuminuria,0.2,0.000141,1.019,2.9e-05,0.0,0,-4.551875910000001,0.010437313324158357,Azithromycin
azithromycin,intracranial arteriosclerosis,0.2,0.000135,1.019,3.5e-05,0.0,0,-4.551877650000001,0.010437295352799745,Azithromycin
azithromycin,"hypertrophy, left ventricular",0.2,7e-05,1.0191,1.7e-05,0.0,0,-4.551882180000001,0.010437248565440777,Azithromycin
azithromycin,frailty,0.2,8e-05,1.019,1.7e-05,0.0,0,-4.5518906800000005,0.010437160775150634,Azithromycin
azithromycin,venous thrombosis,0.2,0.000123,1.0188,3.5e-05,0.0,0,-4.551902650000001,0.010437037147004495,Azithromycin
azithromycin,proteinuria,0.2,0.000162,1.0187,4e-05,0.0,0,-4.551904100000001,0.01043702217126229,Azithromycin
azithromycin,nasopharyngeal carcinoma,0.2,0.000109,1.0188,2.9e-05,0.0,0,-4.55190591,0.01043700347743462,Azithromycin
azithromycin,"constriction, pathologic",0.2,4.7e-05,1.0189,1.2e-05,0.0,0,-4.55190973,0.0104369640242717,Azithromycin
