Drug,Disease,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,Label,graph_score,p_like,SelectedDrug
levodopa,mitochondrial diseases,0.0,6e-06,1.0009,1e-06,0.0,0,0.11010045999999998,0.5274973434555428,Levodopa
levodopa,bacteremia,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,paronychia,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,foot ulcer,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,uterine cervical dysplasia,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,mania,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,maple syrup urine disease,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,hypothermia,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,glycogen storage disease type ii,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,tinnitus,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,dystonic disorders,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,pleural effusion,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,oral submucous fibrosis,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,"leishmaniasis, cutaneous",0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,"leishmaniasis, visceral",0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,"pleural effusion, malignant",0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,idiopathic hypersomnia,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,vitamin b 12 deficiency,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,hypoparathyroidism,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,"cerebral hemorrhage, traumatic",0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,ascites,0.0,6e-06,1.0007,0.0,0.0,0,0.1100785,0.5274918700562795,Levodopa
levodopa,"neuroma, acoustic",0.1111,8e-06,1.0007,0.0,0.0,0,-2.480773,0.07721710430915249,Levodopa
levodopa,sarcopenia,0.1111,6e-06,1.0007,0.0,0.0,0,-2.4807734999999997,0.07721706868184848,Levodopa
levodopa,muscular atrophy,0.1111,6e-06,1.0007,0.0,0.0,0,-2.4807734999999997,0.07721706868184848,Levodopa
levodopa,prostatic hyperplasia,0.1429,2.1e-05,1.0021,1e-06,0.0,0,-3.22219179,0.03833909412152672,Levodopa
levodopa,gonorrhea,0.1429,2.6e-05,1.0017,1e-06,0.0,0,-3.22223454,0.038337517993992126,Levodopa
levodopa,connective tissue diseases,0.1429,4.1e-05,1.0015,1e-06,0.0,0,-3.22225279,0.03833684516317405,Levodopa
levodopa,salivary gland neoplasms,0.1429,1.4e-05,1.0014,0.0,0.0,0,-3.2222705,0.03833619225161405,Levodopa
levodopa,"carcinoma, adenoid cystic",0.1429,1.4e-05,1.0014,0.0,0.0,0,-3.2222705,0.03833619225161405,Levodopa
levodopa,trigeminal nerve diseases,0.1429,4.8e-05,1.0013,1e-06,0.0,0,-3.22227304,0.038336098610741165,Levodopa
levodopa,pulmonary embolism,0.1429,2.7e-05,1.0013,1e-06,0.0,0,-3.22227829,0.03833590506238897,Levodopa
levodopa,wound infection,0.1429,2.5e-05,1.0012,1e-06,0.0,0,-3.22228979,0.03833548110261022,Levodopa
levodopa,abscess,0.1429,2.5e-05,1.0012,1e-06,0.0,0,-3.22228979,0.03833548110261022,Levodopa
levodopa,diabetic foot,0.1429,2.5e-05,1.0012,1e-06,0.0,0,-3.22228979,0.03833548110261022,Levodopa
levodopa,"thyroid cancer, papillary",0.1429,1.5e-05,1.0011,0.0,0.0,0,-3.22230325,0.03833498489105668,Levodopa
levodopa,thrombophilia,0.1429,2e-05,1.001,0.0,0.0,0,-3.222313,0.0383346254548898,Levodopa
levodopa,adenomatous polyposis coli,0.1429,1.5e-05,1.001,0.0,0.0,0,-3.22231425,0.03833457937356396,Levodopa
levodopa,hypothyroidism,0.1429,3.2e-05,1.0009,1e-06,0.0,0,-3.22232104,0.03833432906073111,Levodopa
levodopa,hypopituitarism,0.1429,3.2e-05,1.0009,1e-06,0.0,0,-3.22232104,0.03833432906073111,Levodopa
levodopa,"aortic aneurysm, abdominal",0.1429,1.9e-05,1.0009,0.0,0.0,0,-3.2223242500000002,0.038334210724871906,Levodopa
levodopa,burns,0.1429,1.9e-05,1.0009,0.0,0.0,0,-3.2223242500000002,0.038334210724871906,Levodopa
levodopa,postoperative hemorrhage,0.1429,1.9e-05,1.0009,0.0,0.0,0,-3.2223242500000002,0.038334210724871906,Levodopa
levodopa,giant cell arteritis,0.1429,1.3e-05,1.0009,0.0,0.0,0,-3.22232575,0.03833415542786169,Levodopa
levodopa,anti-glomerular basement membrane disease,0.1429,1.3e-05,1.0009,0.0,0.0,0,-3.22232575,0.03833415542786169,Levodopa
levodopa,gastroparesis,0.1429,4e-05,1.0008,0.0,0.0,0,-3.2223300000000004,0.03833399875341527,Levodopa
levodopa,"obstetric labor, premature",0.1429,2.4e-05,1.0008,0.0,0.0,0,-3.222334,0.03833385129567442,Levodopa
levodopa,biliary atresia,0.1429,1.8e-05,1.0008,0.0,0.0,0,-3.2223355000000002,0.038333795999161986,Levodopa
levodopa,pseudomyxoma peritonei,0.1429,1.3e-05,1.0008,0.0,0.0,0,-3.22233675,0.03833374991879348,Levodopa
levodopa,voice disorders,0.1429,1e-05,1.0008,0.0,0.0,0,-3.2223375,0.038333722270597906,Levodopa
levodopa,herpes zoster,0.1429,4.7e-05,1.0007,0.0,0.0,0,-3.22233925,0.038333657758216004,Levodopa
levodopa,machado-joseph disease,0.1429,3.8e-05,1.0007,0.0,0.0,0,-3.2223415,0.038333574813878175,Levodopa
levodopa,"myoclonic epilepsy, juvenile",0.1429,2.9e-05,1.0007,0.0,0.0,0,-3.2223437500000003,0.038333491869712646,Levodopa
levodopa,"infertility, female",0.1429,2.7e-05,1.0007,0.0,0.0,0,-3.2223442500000004,0.03833347343769927,Levodopa
levodopa,"shock, traumatic",0.1429,2e-05,1.0007,0.0,0.0,0,-3.2223460000000004,0.03833340892571945,Levodopa
levodopa,persistent fetal circulation syndrome,0.1429,1.9e-05,1.0007,0.0,0.0,0,-3.22234625,0.03833339970973085,Levodopa
levodopa,ureterolithiasis,0.1429,1.5e-05,1.0007,0.0,0.0,0,-3.2223472500000003,0.038333362845797685,Levodopa
levodopa,"neoplasm recurrence, local",0.1429,1.4e-05,1.0007,0.0,0.0,0,-3.2223475,0.03833335362981972,Levodopa
levodopa,"lymphoma, t-cell",0.1429,1e-05,1.0007,0.0,0.0,0,-3.2223485000000003,0.03833331676592911,Levodopa
levodopa,"arthritis, rheumatoid",0.2,0.002362,1.0808,2.6e-05,0.0,0,-4.544522540000001,0.010513535745370492,Levodopa
levodopa,cardiovascular diseases,0.2,0.002228,1.0637,2e-05,0.0,0,-4.5464368,0.01049364034423291,Levodopa
levodopa,breast neoplasms,0.2,0.001782,1.0629,1.9e-05,0.0,0,-4.5466362600000005,0.010491569448767238,Levodopa
levodopa,lymphoma,0.2,0.001058,1.0571,1.7e-05,0.0,0,-4.547455180000001,0.010483071240856179,Levodopa
levodopa,leukemia,0.2,0.000714,1.0392,1.2e-05,0.0,0,-4.549509980000001,0.010461777863505372,Levodopa
levodopa,carcinoma,0.2,0.000656,1.0344,1.1e-05,0.0,0,-4.550052440000001,0.01045616363010433,Levodopa
levodopa,arthritis,0.2,0.001089,1.031,1.2e-05,0.0,0,-4.55031823,0.010453413903353933,Levodopa
levodopa,myelodysplastic syndromes,0.2,0.000629,1.032,1e-05,0.0,0,-4.5503231500000005,0.010453363010307509,Levodopa
levodopa,precursor cell lymphoblastic leukemia-lymphoma,0.2,0.000439,1.0312,8e-06,0.0,0,-4.550458570000001,0.010451962306471954,Levodopa
levodopa,prostatic neoplasms,0.2,0.000694,1.0283,9e-06,0.0,0,-4.550713860000001,0.010449322243752661,Levodopa
levodopa,lung neoplasms,0.2,0.000521,1.0286,8e-06,0.0,0,-4.55072407,0.010449216671513148,Levodopa
levodopa,"lymphoma, non-hodgkin",0.2,0.000404,1.0285,7e-06,0.0,0,-4.550764280000001,0.01044880090706934,Levodopa
levodopa,multiple myeloma,0.2,0.000501,1.0273,8e-06,0.0,0,-4.5508720700000005,0.010447686457865013,Levodopa
levodopa,insulin resistance,0.2,0.000953,1.0226,7e-06,0.0,0,-4.55127603,0.010443510930162138,Levodopa
levodopa,burkitt lymphoma,0.2,0.000296,1.0227,5e-06,0.0,0,-4.5514292,0.010441928122063729,Levodopa
levodopa,glioblastoma,0.2,0.000654,1.0207,7e-06,0.0,0,-4.551559780000001,0.010440578938981824,Levodopa
levodopa,"carcinoma, non-small-cell lung",0.2,0.000364,1.0211,7e-06,0.0,0,-4.551588280000001,0.010440284493252443,Levodopa
levodopa,pancreatic neoplasms,0.2,0.000367,1.0206,5e-06,0.0,0,-4.551642450000001,0.010439724862387778,Levodopa
levodopa,central nervous system neoplasms,0.2,0.000344,1.0201,6e-06,0.0,0,-4.55170324,0.010439096875574433,Levodopa
levodopa,dyslipidemias,0.2,0.000581,1.0195,5e-06,0.0,0,-4.55170995,0.010439027560682622,Levodopa
levodopa,kidney neoplasms,0.2,0.000328,1.0196,4e-06,0.0,0,-4.551762160000001,0.010438488242334567,Levodopa
levodopa,sarcoma,0.2,0.000347,1.0195,6e-06,0.0,0,-4.551768490000001,0.010438422856636313,Levodopa
levodopa,colorectal neoplasms,0.2,0.000416,1.0193,7e-06,0.0,0,-4.551773280000001,0.010438373378628473,Levodopa
levodopa,coronary disease,0.2,0.000605,1.0188,6e-06,0.0,0,-4.551780990000001,0.010438293739149137,Levodopa
levodopa,"leukemia, lymphocytic, chronic, b-cell",0.2,0.000342,1.0192,6e-06,0.0,0,-4.55180274,0.010438069078488488,Levodopa
levodopa,hypercholesterolemia,0.2,0.000624,1.0185,5e-06,0.0,0,-4.551809200000001,0.010438002352611489,Levodopa
levodopa,triple negative breast neoplasms,0.2,0.00038,1.019,6e-06,0.0,0,-4.551815240000001,0.010437939965331192,Levodopa
levodopa,"pulmonary disease, chronic obstructive",0.2,0.000623,1.018,8e-06,0.0,0,-4.55186457,0.010437430448590329,Levodopa
levodopa,tuberculosis,0.2,0.000617,1.018,7e-06,0.0,0,-4.55186603,0.010437415369004987,Levodopa
levodopa,ovarian neoplasms,0.2,0.000244,1.0181,5e-06,0.0,0,-4.551948200000001,0.010436566712293985,Levodopa
levodopa,"lymphoma, large-cell, immunoblastic",0.2,0.000219,1.0179,4e-06,0.0,0,-4.551976410000001,0.010436275373458108,Levodopa
levodopa,mediastinal neoplasms,0.2,0.000219,1.0179,4e-06,0.0,0,-4.551976410000001,0.010436275373458108,Levodopa
levodopa,"lupus erythematosus, systemic",0.2,0.000478,1.0164,5e-06,0.0,0,-4.552076700000001,0.010435239693421914,Levodopa
levodopa,neuromyelitis optica,0.2,0.000342,1.0166,4e-06,0.0,0,-4.552088660000001,0.010435116191053272,Levodopa
levodopa,heart diseases,0.2,0.000688,1.0149,6e-06,0.0,0,-4.552189240000001,0.010434077630528974,Levodopa
levodopa,head and neck neoplasms,0.2,0.000244,1.0159,4e-06,0.0,0,-4.55219016,0.010434068131342214,Levodopa
levodopa,graft vs host disease,0.2,0.000311,1.0155,4e-06,0.0,0,-4.552217410000001,0.010433786773440595,Levodopa
levodopa,essential hypertension,0.2,0.000568,1.0149,5e-06,0.0,0,-4.552219200000001,0.01043376829184486,Levodopa
levodopa,hodgkin disease,0.2,0.000258,1.0156,5e-06,0.0,0,-4.5522197,0.010433763129393744,Levodopa
levodopa,"lymphoma, follicular",0.2,0.000221,1.0156,4e-06,0.0,0,-4.55222891,0.010433668037496117,Levodopa
levodopa,"lymphoma, large b-cell, diffuse",0.2,0.00018,1.0156,3e-06,0.0,0,-4.55223912,0.010433562621747558,Levodopa
levodopa,anemia,0.2,0.000316,1.0152,5e-06,0.0,0,-4.5522492,0.010433458549250941,Levodopa
