Drug,Disease,GraphDistanceToIndication,RandomWalkScore,StructuralLikelihood,PreferentialAttachment,KatzSimilarity,Label,graph_score,p_like,SelectedDrug
metformin,mitochondrial diseases,0.0,6e-06,1.0925,4.8e-05,0.0,0,0.12017458,0.530007539791295,metformin
metformin,paronychia,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,mania,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,maple syrup urine disease,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,"pleural effusion, malignant",0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,bacteremia,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,idiopathic hypersomnia,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,"leishmaniasis, cutaneous",0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,vitamin b 12 deficiency,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,hypothermia,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,oral submucous fibrosis,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,"leishmaniasis, visceral",0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,hypoparathyroidism,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,"cerebral hemorrhage, traumatic",0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,pleural effusion,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,ascites,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,uterine cervical dysplasia,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,glycogen storage disease type ii,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,tinnitus,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,dystonic disorders,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,foot ulcer,0.0,6e-06,1.0923,2.4e-05,0.0,0,0.12015354,0.5300022987335057,metformin
metformin,"neuroma, acoustic",0.1429,1.5e-05,1.0923,2.4e-05,0.0,0,-3.21227221,0.03870650069889939,metformin
metformin,muscular atrophy,0.1429,6e-06,1.0923,2.4e-05,0.0,0,-3.21227446,0.038706416980294395,metformin
metformin,sarcopenia,0.1429,6e-06,1.0923,2.4e-05,0.0,0,-3.21227446,0.038706416980294395,metformin
metformin,prostatic hyperplasia,0.2,1.9e-05,1.0938,4.8e-05,0.0,0,-4.543679170000001,0.010522312947455084,metformin
metformin,gonorrhea,0.2,5.2e-05,1.0933,4.8e-05,0.0,0,-4.543725920000001,0.010521826216579292,metformin
metformin,mycobacterium avium-intracellulare infection,0.2,7.2e-05,1.0932,7.2e-05,0.0,0,-4.54373288,0.010521753755449123,metformin
metformin,bronchial spasm,0.2,7e-05,1.0931,7.2e-05,0.0,0,-4.543744380000001,0.010521634029088848,metformin
metformin,bronchiolitis obliterans,0.2,4.6e-05,1.0931,4.8e-05,0.0,0,-4.54374942,0.010521581558134896,metformin
metformin,candidiasis,0.2,3.9e-05,1.0931,4.8e-05,0.0,0,-4.54375117,0.010521563339114212,metformin
metformin,cryptosporidiosis,0.2,3.2e-05,1.0931,4.8e-05,0.0,0,-4.54375292,0.01052154512012474,metformin
metformin,varicose veins,0.2,4.7e-05,1.093,4.8e-05,0.0,0,-4.5437601700000005,0.010521469641786579,metformin
metformin,"heart defects, congenital",0.2,9.1e-05,1.0929,7.2e-05,0.0,0,-4.543761130000001,0.010521459647453687,metformin
metformin,pulmonary embolism,0.2,5.4e-05,1.0929,4.8e-05,0.0,0,-4.54376942,0.010521373342615648,metformin
metformin,"hypotension, orthostatic",0.2,4.8e-05,1.0929,4.8e-05,0.0,0,-4.543770920000001,0.010521357726616038,metformin
metformin,trigeminal nerve diseases,0.2,3.9e-05,1.0929,4.8e-05,0.0,0,-4.543773170000001,0.010521334302659634,metformin
