run,p_raw,p_penalised,p_final,gamma,T,A,N,M,cM,p_likelihood,post_mean,KL,E_prior,E_post,delta_mu
1,0.6333333333333333,0.34,0.1955,0.85,95,22,33,150,199.50424956466674,0.47849860958775603,0.25418262864319113,1.778917,0.198522,0.254183,0.05566
2,0.64,0.3333333333333333,0.19166666666666665,0.85,96,23,31,150,199.50424956466674,0.47849860958775603,0.2511418597841295,1.845483,0.194727,0.251142,0.056415
3,0.6466666666666666,0.36666666666666664,0.2108333333333333,0.85,97,21,32,150,199.50424956466674,0.47849860958775603,0.26634570407943736,1.533569,0.213703,0.266346,0.052642
4,0.6266666666666667,0.3333333333333333,0.19166666666666665,0.85,94,22,34,150,199.50424956466674,0.47849860958775603,0.2511418597841295,1.845483,0.194727,0.251142,0.056415
5,0.6466666666666666,0.38,0.21849999999999997,0.85,97,20,33,150,199.50424956466674,0.47849860958775603,0.27242724179756056,1.422328,0.221294,0.272427,0.051133
6,0.64,0.3333333333333333,0.19166666666666665,0.85,96,23,31,150,199.50424956466674,0.47849860958775603,0.2511418597841295,1.845483,0.194727,0.251142,0.056415
7,0.6466666666666666,0.35333333333333333,0.20316666666666666,0.85,97,22,31,150,199.50424956466674,0.47849860958775603,0.2602641663613143,1.652228,0.206113,0.260264,0.054151
8,0.64,0.3333333333333333,0.19166666666666665,0.85,96,23,31,150,199.50424956466674,0.47849860958775603,0.2511418597841295,1.845483,0.194727,0.251142,0.056415
9,0.6333333333333333,0.34,0.1955,0.85,95,22,33,150,199.50424956466674,0.47849860958775603,0.25418262864319113,1.778917,0.198522,0.254183,0.05566
10,0.64,0.36,0.207,0.85,96,21,33,150,199.50424956466674,0.47849860958775603,0.26330493522037585,1.591935,0.209908,0.263305,0.053397
